McMeal at McDonalds (or Equivalent Combo Meal);;;;Meal for 2 People, Mid-range Restaurant, Three-course;;;;Meal, Inexpensive Restaurant;;;;Cappuccino (regular);;;;Coke/Pepsi (0.33 liter bottle);;;;Domestic Beer (0.5 liter draught);;;;Imported Beer (0.33 liter bottle);;;;Water (0.33 liter bottle) ;;;;Domestic Beer (0.5 liter bottle);;;;Eggs (regular) (12);;;;Imported Beer (0.33 liter bottle);;;;Loaf of Fresh White Bread (500g);;;;Milk (regular), (1 liter);;;;Water (1.5 liter bottle);;;;Apples (1kg);;;;Banana (1kg);;;;Lettuce (1 head);;;;Onion (1kg);;;;Oranges (1kg);;;;Potato (1kg);;;;Rice (white), (1kg);;;;Tomato (1kg);;;;Beef Round (1kg) (or Equivalent Back Leg Red Meat);;;;Bottle of Wine (Mid-Range);;;;Chicken Breasts (Boneless, Skinless), (1kg);;;;Cigarettes 20 Pack (Marlboro);;;;Local Cheese (1kg);;;;Apartment (1 bedroom) Outside of Centre;;;;Apartment (1 bedroom) in City Centre;;;;Apartment (3 bedrooms) Outside of Centre;;;;Apartment (3 bedrooms) in City Centre;;;;Price per Square Meter to Buy Apartment Outside of Centre;;;;Price per Square Meter to Buy Apartment in City Centre;;;;Average Monthly Net Salary (After Tax);;;;Gasoline (1 liter);;;;One-way Ticket (Local Transport);;;;Monthly Pass (Regular Price);;;;Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate;;;;Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment;;;;Internet (60 Mbps or More, Unlimited Data, Cable/ADSL);;;;Cinema, International Release, 1 Seat;;;;Fitness Club, Monthly Fee for 1 Adult;;;;Tennis Court Rent (1 Hour on Weekend);;;;1 Pair of Jeans (Levis 501 Or Similar);;;;1 Pair of Men Leather Business Shoes;;;;1 Pair of Nike Running Shoes (Mid-Range);;;;1 Summer Dress in a Chain Store (Zara, H&M, ...);;;
year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;;year;price;inflation;inflation
2018;300.0 ð.;;;2018;2000.0 ð.;;;2018;500.0 ð.;;;2018;134.53 ð.;-3.69%;;2018;51.42 ð.;-9.07%;;2018;120.0 ð.;-4.0%;;2018;200.0 ð.;;;2018;34.92 ð.;-7.23%;;2018;61.03 ð.;0.74%;;2018;73.52 ð.;-4.21%;;2018;141.5 ð.;12.7%;;2018;47.08 ð.;5.8%;;2018;63.06 ð.;4.4%;;2018;46.2 ð.;7.89%;;2018;86.83 ð.;9.61%;;2018;56.95 ð.;-7.31%;;2018;55.19 ð.;-17.33%;;2018;32.1 ð.;7.36%;;2018;87.45 ð.;20.77%;;2018;34.21 ð.;-5.96%;;2018;67.96 ð.;-4.95%;;2018;140.44 ð.;-12.4%;;2018;496.03 ð.;10.78%;;2018;450.0 ð.;12.5%;;2018;255.84 ð.;4.16%;;2018;132.5 ð.;10.42%;;2018;536.25 ð.;22.28%;;2018;22348.21 ð.;-0.46%;;2018;34782.84 ð.;-0.79%;;2018;41284.15 ð.;0.5%;;2018;65879.46 ð.;0.95%;;2018;93495.05 ð.;1.19%;;2018;148920.07 ð.;2.61%;;2018;43241.09 ð.;-1.57%;;2018;43.37 ð.;10.08%;;2018;40.0 ð.;;;2018;2900.0 ð.;16.0%;;2018;10.43 ð.;-13.3%;;2018;7248.46 ð.;4.57%;;2018;467.02 ð.;7.97%;;2018;350.0 ð.;12.9%;;2018;1817.57 ð.;9.8%;;2018;1144.07 ð.;-3.93%;;2018;4976.35 ð.;-2.91%;;2018;6494.56 ð.;-7.07%;;2018;4985.64 ð.;1.06%;;2018;2490.63 ð.;4.01%;4.01%
2017;300.0 ð.;;;2017;2000.0 ð.;;;2017;500.0 ð.;;;2017;139.69 ð.;-1.41%;;2017;56.55 ð.;20.4%;;2017;125.0 ð.;56.25%;;2017;200.0 ð.;33.33%;;2017;37.64 ð.;11.2%;;2017;60.58 ð.;4.11%;;2017;76.75 ð.;3.01%;;2017;125.56 ð.;7.34%;;2017;44.5 ð.;-1.0%;;2017;60.4 ð.;4.79%;;2017;42.82 ð.;4.21%;;2017;79.22 ð.;-14.28%;;2017;61.44 ð.;-6.95%;;2017;66.76 ð.;21.96%;;2017;29.9 ð.;-7.32%;;2017;72.41 ð.;-15.78%;;2017;36.38 ð.;18.46%;;2017;71.5 ð.;-0.1%;;2017;160.32 ð.;23.42%;;2017;447.78 ð.;11.48%;;2017;400.0 ð.;;;2017;245.62 ð.;1.79%;;2017;120.0 ð.;9.09%;;2017;438.53 ð.;-5.45%;;2017;22451.61 ð.;-0.34%;;2017;35060.0 ð.;4.02%;;2017;41076.92 ð.;2.89%;;2017;65258.06 ð.;0.79%;;2017;92400.0 ð.;7.82%;;2017;145128.21 ð.;-0.1%;;2017;43929.1 ð.;10.64%;;2017;39.4 ð.;5.69%;;2017;40.0 ð.;14.29%;;2017;2500.0 ð.;2.04%;;2017;12.03 ð.;-9.14%;;2017;6931.96 ð.;14.23%;;2017;432.54 ð.;9.85%;;2017;310.0 ð.;2.56%;;2017;1655.35 ð.;-18.32%;;2017;1190.91 ð.;-28.26%;;2017;5125.58 ð.;1.28%;;2017;6988.57 ð.;5.18%;;2017;4933.11 ð.;-1.51%;;2017;2394.59 ð.;-8.12%;-8.12%
2016;300.0 ð.;-2.28%;;2016;2000.0 ð.;;;2016;500.0 ð.;;;2016;141.69 ð.;-2.71%;;2016;46.97 ð.;-11.36%;;2016;80.0 ð.;14.29%;;2016;150.0 ð.;;;2016;33.85 ð.;-7.13%;;2016;58.19 ð.;8.04%;;2016;74.51 ð.;0.55%;;2016;116.97 ð.;3.56%;;2016;44.95 ð.;2.95%;;2016;57.64 ð.;3.65%;;2016;41.09 ð.;-0.27%;;2016;92.42 ð.;7.24%;;2016;66.03 ð.;15.18%;;2016;54.74 ð.;-12.43%;;2016;32.26 ð.;1.45%;;2016;85.98 ð.;15.55%;;2016;30.71 ð.;-29.22%;;2016;71.57 ð.;12.48%;;2016;129.9 ð.;2.08%;;2016;401.66 ð.;-15.31%;;2016;400.0 ð.;;;2016;241.3 ð.;-0.99%;;2016;110.0 ð.;37.5%;;2016;463.8 ð.;9.76%;;2016;22527.98 ð.;-2.52%;;2016;33704.27 ð.;-3.71%;;2016;39924.47 ð.;-0.15%;;2016;64746.84 ð.;2.19%;;2016;85695.56 ð.;-5.78%;;2016;145270.71 ð.;6.54%;;2016;39705.82 ð.;2.14%;;2016;37.28 ð.;4.13%;;2016;35.0 ð.;16.67%;;2016;2450.0 ð.;21.62%;;2016;13.24 ð.;-4.89%;;2016;6068.22 ð.;6.63%;;2016;393.76 ð.;1.69%;;2016;302.27 ð.;0.76%;;2016;2026.7 ð.;20.48%;;2016;1660.0 ð.;32.32%;;2016;5060.8 ð.;18.29%;;2016;6644.54 ð.;4.99%;;2016;5008.68 ð.;4.4%;;2016;2606.35 ð.;2.6%;2.6%
2015;307.0 ð.;22.8%;;2015;2000.0 ð.;33.33%;;2015;500.0 ð.;25.0%;;2015;145.63 ð.;28.91%;;2015;52.99 ð.;21.7%;;2015;70.0 ð.;3.83%;;2015;150.0 ð.;25.0%;;2015;36.45 ð.;22.27%;;2015;53.86 ð.;14.91%;;2015;74.1 ð.;16.84%;;2015;112.95 ð.;22.13%;;2015;43.66 ð.;27.07%;;2015;55.61 ð.;18.85%;;2015;41.2 ð.;27.55%;;2015;86.18 ð.;46.96%;;2015;57.33 ð.;;;2015;62.51 ð.;24.13%;;2015;31.8 ð.;;;2015;74.41 ð.;18.02%;;2015;43.39 ð.;18.1%;;2015;63.63 ð.;39.2%;;2015;127.25 ð.;47.72%;;2015;474.27 ð.;;;2015;400.0 ð.;33.33%;;2015;243.72 ð.;9.98%;;2015;80.0 ð.;6.67%;;2015;422.56 ð.;35.45%;;2015;23110.34 ð.;8.17%;;2015;35001.49 ð.;18.18%;;2015;39983.26 ð.;-2.24%;;2015;63359.3 ð.;-0.61%;;2015;90953.37 ð.;1.46%;;2015;136357.38 ð.;1.87%;;2015;38872.71 ð.;16.73%;;2015;35.8 ð.;5.05%;;2015;30.0 ð.;7.14%;;2015;2014.51 ð.;4.38%;;2015;13.92 ð.;4.58%;;2015;5691.09 ð.;-0.65%;;2015;387.23 ð.;15.97%;;2015;300.0 ð.;;;2015;1682.17 ð.;-5.54%;;2015;1254.5 ð.;32.05%;;2015;4278.36 ð.;13.82%;;2015;6328.58 ð.;48.33%;;2015;4797.54 ð.;40.47%;;2015;2540.28 ð.;50.11%;50.11%
2014;250.0 ð.;;;2014;1500.0 ð.;;;2014;400.0 ð.;14.29%;;2014;112.97 ð.;-1.26%;;2014;43.54 ð.;11.73%;;2014;67.42 ð.;34.84%;;2014;120.0 ð.;20.0%;;2014;29.81 ð.;8.36%;;2014;46.87 ð.;7.13%;;2014;63.42 ð.;15.31%;;2014;92.48 ð.;4.7%;;2014;34.36 ð.;9.11%;;2014;46.79 ð.;20.19%;;2014;32.3 ð.;-4.32%;;2014;58.64 ð.;-1.76%;;;;;;2014;50.36 ð.;19.34%;;;;;;2014;63.05 ð.;3.82%;;2014;36.74 ð.;17.91%;;2014;45.71 ð.;16.16%;;2014;86.14 ð.;3.81%;;;;;;2014;300.0 ð.;;;2014;221.61 ð.;21.89%;;2014;75.0 ð.;12.78%;;2014;311.96 ð.;7.15%;;2014;21365.38 ð.;-3.1%;;2014;29617.7 ð.;-7.26%;;2014;40900.0 ð.;10.77%;;2014;63750.0 ð.;2.88%;;2014;89647.06 ð.;11.52%;;2014;133857.14 ð.;12.6%;;2014;33301.54 ð.;5.83%;;2014;34.08 ð.;5.97%;;2014;28.0 ð.;;;2014;1930.0 ð.;13.53%;;2014;13.31 ð.;-8.02%;;2014;5728.46 ð.;2.57%;;2014;333.91 ð.;-4.07%;;2014;300.0 ð.;;;2014;1780.88 ð.;16.43%;;2014;950.0 ð.;18.75%;;2014;3758.82 ð.;-7.81%;;2014;4266.6 ð.;15.7%;;2014;3415.31 ð.;-6.86%;;2014;1692.23 ð.;-0.46%;-0.46%
2013;250.0 ð.;;;2013;1500.0 ð.;;;2013;350.0 ð.;-2.78%;;2013;114.41 ð.;11.25%;;2013;38.97 ð.;-2.18%;;2013;50.0 ð.;-44.5%;;2013;100.0 ð.;-5.77%;;2013;27.51 ð.;-7.03%;;2013;43.75 ð.;12.18%;;2013;55.0 ð.;13.33%;;2013;88.33 ð.;21.38%;;2013;31.49 ð.;-6.0%;;2013;38.93 ð.;-2.16%;;2013;33.76 ð.;-7.94%;;2013;59.69 ð.;3.4%;;;;;;2013;42.2 ð.;20.57%;;;;;;2013;60.73 ð.;3.37%;;2013;31.16 ð.;-1.8%;;2013;39.35 ð.;-16.28%;;2013;82.98 ð.;22.39%;;;;;;2013;300.0 ð.;;;2013;181.81 ð.;-0.65%;;2013;66.5 ð.;20.91%;;2013;291.14 ð.;0.87%;;2013;22050.0 ð.;18.45%;;2013;31937.13 ð.;17.81%;;2013;36922.0 ð.;10.51%;;2013;61967.57 ð.;22.52%;;2013;80387.88 ð.;3.5%;;2013;118876.96 ð.;-0.42%;;2013;31467.3 ð.;12.02%;;2013;32.16 ð.;6.81%;;2013;28.0 ð.;9.8%;;2013;1700.0 ð.;25.93%;;2013;14.47 ð.;10.12%;;2013;5585.15 ð.;19.34%;;2013;348.08 ð.;-5.92%;;2013;300.0 ð.;;;2013;1529.63 ð.;15.55%;;2013;800.0 ð.;92.0%;;2013;4077.27 ð.;23.09%;;2013;3687.5 ð.;12.23%;;2013;3666.67 ð.;10.0%;;2013;1700.0 ð.;;
2012;250.0 ð.;42.86%;;2012;1500.0 ð.;;;2012;360.0 ð.;20.0%;;2012;102.84 ð.;8.25%;;2012;39.84 ð.;-20.32%;;2012;90.09 ð.;-21.66%;;2012;106.12 ð.;-11.57%;;2012;29.59 ð.;3.21%;;2012;39.0 ð.;11.43%;;2012;48.53 ð.;11.46%;;2012;72.77 ð.;-14.39%;;2012;33.5 ð.;17.21%;;2012;39.79 ð.;12.5%;;2012;36.67 ð.;15.79%;;2012;57.73 ð.;36.0%;;;;;;2012;35.0 ð.;7.69%;;;;;;2012;58.75 ð.;30.7%;;2012;31.73 ð.;27.17%;;2012;47.0 ð.;;;2012;67.8 ð.;;;;;;;2012;300.0 ð.;27.66%;;2012;183.0 ð.;-3.68%;;2012;55.0 ð.;37.5%;;2012;288.64 ð.;6.9%;;2012;18615.5 ð.;3.42%;;2012;27108.08 ð.;9.9%;;2012;33410.0 ð.;4.41%;;2012;50576.38 ð.;6.48%;;2012;77666.67 ð.;5.91%;;2012;119375.0 ð.;-4.5%;;2012;28090.91 ð.;13.27%;;2012;30.11 ð.;6.28%;;2012;25.5 ð.;2.0%;;2012;1350.0 ð.;-12.34%;;2012;13.14 ð.;-0.83%;;2012;4679.98 ð.;76.6%;;2012;370.0 ð.;-14.61%;;2012;300.0 ð.;;;2012;1323.81 ð.;16.24%;;2012;416.67 ð.;40.06%;;2012;3312.5 ð.;-0.62%;;2012;3285.71 ð.;-12.26%;;2012;3333.33 ð.;-2.91%;;2012;1700.0 ð.;21.43%;21.43%
2011;175.0 ð.;;;2011;1500.0 ð.;;;2011;300.0 ð.;;;2011;95.0 ð.;;;2011;50.0 ð.;;;2011;115.0 ð.;;;2011;120.0 ð.;;;2011;28.67 ð.;;;2011;35.0 ð.;;;2011;43.54 ð.;;;2011;85.0 ð.;;;2011;28.58 ð.;;;2011;35.37 ð.;;;2011;31.67 ð.;;;2011;42.45 ð.;;;;;;;2011;32.5 ð.;;;;;;;2011;44.95 ð.;;;2011;24.95 ð.;;;;;;;;;;;;;;;2011;235.0 ð.;;;2011;190.0 ð.;;;2011;40.0 ð.;;;2011;270.0 ð.;;;2011;18000.0 ð.;;;2011;24666.67 ð.;;;2011;32000.0 ð.;;;2011;47500.0 ð.;;;2011;73333.33 ð.;;;2011;125000.0 ð.;;;2011;24800.0 ð.;;;2011;28.33 ð.;;;2011;25.0 ð.;;;2011;1540.0 ð.;;;2011;13.25 ð.;;;2011;2650.0 ð.;;;2011;433.33 ð.;;;2011;300.0 ð.;;;2011;1138.89 ð.;;;2011;297.5 ð.;;;2011;3333.33 ð.;;;2011;3745.0 ð.;;;2011;3433.33 ð.;;;2011;1400.0 ð.;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean;;9.05%;;Mean;;4.76%;;Mean;;8.07%;;Mean;;5.62%;;Mean;;1.56%;;Mean;;5.58%;;Mean;;8.71%;;Mean;;3.38%;;Mean;;8.36%;;Mean;;8.04%;;Mean;;8.2%;;Mean;;7.88%;;Mean;;8.89%;;Mean;;6.13%;;Mean;;12.45%;;Mean;;0.31%;;Mean;;9.13%;;Mean;;0.5%;;Mean;;10.92%;;Mean;;6.38%;;Mean;;7.75%;;Mean;;14.5%;;Mean;;2.32%;;Mean;;10.5%;;Mean;;4.64%;;Mean;;19.27%;;Mean;;10.99%;;Mean;;3.37%;;Mean;;5.45%;;Mean;;3.81%;;Mean;;5.03%;;Mean;;3.66%;;Mean;;2.66%;;Mean;;8.44%;;Mean;;6.29%;;Mean;;7.13%;;Mean;;10.17%;;Mean;;-3.07%;;Mean;;17.61%;;Mean;;1.55%;;Mean;;2.32%;;Mean;;7.81%;;Mean;;26.14%;;Mean;;6.45%;;Mean;;9.59%;;Mean;;6.38%;;Mean;;9.94%;9.94%
